Date,Open,High,Low,Close,Adj Close,Volume
2021-03-22,6063.000000,6167.000000,5980.000000,6134.500000,5642.439453,1137243
2021-03-23,6088.000000,6098.000000,5956.000000,6002.000000,5520.567383,1599790
2021-03-24,5999.500000,6231.000000,5976.000000,6207.000000,5709.124023,1359236
2021-03-25,6155.000000,6195.500000,6068.000000,6123.000000,5631.861816,1078766
2021-03-26,6200.000000,6269.500000,6194.000000,6221.000000,5722.000977,1093335
2021-03-29,6233.000000,6278.000000,6174.000000,6261.500000,5759.252441,781915
2021-03-30,6255.000000,6316.500000,6125.500000,6165.500000,5670.952637,898509
2021-03-31,6172.500000,6188.000000,6097.500000,6126.500000,5635.081055,791955
2021-04-01,6152.500000,6188.500000,6015.000000,6070.000000,5583.113281,1044676
2021-04-02,6120.500000,6137.000000,6076.500000,6104.000000,5614.385742,215395
2021-04-05,6095.000000,6095.000000,5951.000000,5977.500000,5498.032715,764866
2021-04-06,6008.000000,6024.000000,5872.000000,5904.500000,5430.887695,1112084
2021-04-07,5893.500000,6001.000000,5842.000000,5941.000000,5464.460449,1368590
2021-04-08,5990.000000,6067.500000,5945.000000,5986.000000,5505.851074,718082
2021-04-09,6001.000000,6006.000000,5867.000000,5938.000000,5461.700684,1109003
2021-04-12,5900.000000,6037.000000,5889.000000,5991.500000,5510.909668,1233248
2021-04-13,6003.500000,6022.000000,5946.500000,5990.000000,5509.529785,620021
2021-04-14,6080.000000,6158.000000,5975.000000,6146.000000,5653.017090,1256476
2021-04-15,6088.500000,6118.500000,6017.000000,6065.000000,5578.514160,1159998
2021-04-16,6089.000000,6104.000000,6025.000000,6066.500000,5579.893555,732691
2021-04-19,6059.000000,6087.000000,5986.000000,6013.500000,5531.145020,515683
2021-04-20,6021.500000,6061.000000,5840.000000,5880.000000,5408.353516,1374528
2021-04-21,5882.000000,5966.500000,5880.000000,5946.000000,5469.059082,817678
2021-04-22,5945.000000,6057.000000,5886.500000,6023.000000,5539.882813,1257446
2021-04-23,6020.000000,6027.500000,5931.000000,5954.500000,5476.877441,831470
2021-04-26,5952.000000,5971.000000,5892.500000,5912.000000,5437.786621,790297
2021-04-27,5917.000000,5966.500000,5870.500000,5900.500000,5427.208984,708337
2021-04-28,5906.000000,5945.000000,5844.000000,5890.000000,5417.551270,837634
2021-04-29,5931.000000,5945.000000,5875.000000,5904.500000,5430.887695,973325
2021-04-30,5917.500000,5945.000000,5760.000000,5810.000000,5343.967773,1345452
2021-05-04,5824.000000,5996.500000,5815.000000,5988.500000,5508.149902,1299903
2021-05-05,6010.000000,6156.000000,5985.500000,6134.000000,5641.979004,1269977
2021-05-06,6122.000000,6185.000000,6080.000000,6086.500000,5598.289063,963303
2021-05-07,6104.000000,6122.500000,6042.500000,6092.000000,5603.348633,696585
2021-05-10,6097.000000,6203.000000,6093.000000,6127.500000,5636.000977,1008550
2021-05-11,6093.500000,6093.500000,5948.000000,5998.500000,5517.348145,1204899
2021-05-12,6028.000000,6205.000000,6004.000000,6149.000000,5655.775879,1357756
2021-05-13,6100.000000,6127.000000,6023.500000,6038.000000,5553.679688,1124808
2021-05-14,6052.500000,6077.000000,6002.000000,6042.000000,5557.358887,458180
